index,cluster
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,1
9,1
10,1
11,1
12,2
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,2
29,1
30,2
31,0
32,1
33,0
34,2
35,1
36,2
37,1
38,1
39,1
40,2
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,2
64,0
65,1
66,1
67,0
68,1
69,2
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,2
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,2
91,1
92,1
93,0
94,0
95,1
96,2
97,0
98,2
99,2
100,1
101,1
102,1
103,2
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,2
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,2
136,1
137,1
138,1
139,1
140,1
141,2
142,1
143,1
144,1
145,2
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,2
156,1
157,1
158,1
159,1
160,1
161,2
162,0
163,2
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,2
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,2
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,2
210,1
211,2
212,0
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,2
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,2
240,1
241,1
242,0
243,2
244,1
245,1
246,0
247,2
248,1
249,0
250,1
251,1
252,2
253,1
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,2
270,1
271,1
272,2
273,0
274,1
275,1
276,1
277,2
278,2
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,2
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,2
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,2
317,1
318,1
319,0
320,2
321,1
322,2
323,1
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,0
346,2
347,1
348,2
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,2
364,2
365,1
366,1
367,0
368,2
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,2
384,1
385,1
386,1
387,2
388,0
389,1
390,0
391,1
392,1
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,2
406,1
407,1
408,1
409,1
410,1
411,2
412,1
413,1
414,1
415,1
416,1
417,1
418,2
419,1
420,0
421,2
422,1
423,2
424,0
425,2
426,1
427,1
428,1
429,2
430,0
431,1
432,0
433,2
434,2
435,1
436,1
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,0
450,2
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,0
466,0
467,0
468,1
469,1
470,2
471,2
472,1
473,1
474,0
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,0
484,2
485,1
486,1
487,0
488,1
489,2
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,2
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,2
522,1
523,1
524,1
525,0
526,0
527,0
528,2
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,2
551,0
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,1
561,0
562,2
563,0
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,0
578,1
579,2
580,1
581,1
582,1
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,2
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,1
607,2
608,2
609,1
610,1
611,1
612,2
613,1
614,1
615,2
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,0
644,2
645,1
646,0
647,1
648,1
649,0
650,1
651,1
652,2
653,1
654,0
655,1
656,2
657,1
658,2
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,2
667,1
668,1
669,1
670,1
671,2
672,1
673,1
674,1
675,1
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,2
685,1
686,1
687,1
688,1
689,2
690,1
691,2
692,1
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,2
702,0
703,2
704,2
705,0
706,0
707,2
708,1
709,1
710,0
711,2
712,2
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,2
721,1
722,0
723,0
724,1
725,0
726,1
727,1
728,1
729,2
730,1
731,1
732,1
733,1
734,2
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,1
748,2
749,1
750,2
751,1
752,0
753,1
754,1
755,1
756,2
757,1
758,1
759,2
760,1
761,2
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,2
770,0
771,0
772,1
773,1
774,1
775,0
776,2
777,1
778,0
779,2
780,1
781,1
782,2
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,2
793,1
794,0
795,2
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,2
804,1
805,0
806,1
807,1
808,1
809,1
810,1
811,1
812,0
813,0
814,1
815,1
816,2
817,1
818,0
819,1
820,1
821,1
822,1
823,1
824,2
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,1
834,1
835,0
836,1
837,2
838,1
839,1
840,1
841,2
842,1
843,1
844,1
845,1
846,1
847,1
848,2
849,2
850,1
851,1
852,1
853,0
854,1
855,1
856,1
857,1
858,1
859,0
860,1
861,0
862,1
863,2
864,1
865,1
866,1
867,2
868,2
869,1
870,1
871,1
872,1
873,1
874,2
875,1
876,1
877,1
878,1
879,1
880,0
881,1
882,1
883,1
884,1
885,2
886,0
887,0
888,1
889,1
890,1
891,0
892,2
893,1
894,1
895,1
896,2
897,0
898,1
899,2
900,1
901,1
902,1
903,1
904,0
905,2
906,2
907,1
908,1
909,1
910,1
911,0
912,0
913,1
914,0
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,1
925,2
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,0
962,1
963,1
964,1
965,1
966,2
967,2
968,1
969,1
970,2
971,1
972,0
973,1
974,1
975,1
976,1
977,2
978,1
979,1
980,0
981,1
982,1
983,1
984,0
985,1
986,1
987,1
988,0
989,1
990,1
991,1
992,0
993,1
994,1
995,0
996,2
997,1
998,0
999,0
1000,2
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,2
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,1
1015,2
1016,1
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,2
1025,2
1026,1
1027,1
1028,1
1029,1
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,0
1038,1
1039,1
1040,0
1041,1
1042,1
1043,1
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,2
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
